,job_sub_time,job_id,int_num,req_cpu_core,req_mem_GB,req_gpu,req_bit_per_sec,int_runtime_sec
200,27652.0,061f80208b3ac2ce82ee799e_worker,10.0,6.0,2.0,0.25,125232360.2651837,1298.3
201,27656.0,a63e1b5929d70ac54d6e2af9_worker,10.0,6.0,2.0,0.25,12806113.86409927,1380.2
202,27666.0,05ec38a8d10254170e7bad05_worker,10.0,6.0,2.0,0.25,13749074.968638314,1350.9
203,27668.0,76349c43441e223420547b69_worker,10.0,6.0,2.0,0.25,14757889.615374854,1530.8
204,27891.0,8092d8bf7af3c14ad73e9bff_tensorflow,1.0,6.0,29.296875,1.0,48047326.836331226,21.0
205,28017.0,57bf95f623d96008eea6f8b2_PyTorchWorker,10.0,2.0,7.8125,1.0,7417669.766826635,2486.8
206,28062.0,e847a424925b26d5b704e669_PyTorchWorker,1.0,18.0,58.59375,1.0,83685847.58792697,7.0
207,28171.0,31b81466fea8174908216888_tensorflow,1.0,6.0,29.296875,0.1,30507387.58092946,5381.0
208,28477.0,93c5b9a1ba2b8fdc9e38f2b9_tensorflow,1.0,6.0,29.296875,1.0,8562103.664445037,21.0
209,28496.0,08552c1a51e4a80690a6b917_tensorflow,1.0,6.0,29.296875,0.1,9251848.59070165,5024.0
210,28529.0,ccc6efc6527c8c3ea21fc81e_worker,1.0,6.0,19.53125,0.6,16814370.321619242,830.0
211,28545.0,fd98f6bd212e6a4baf8c0c60_worker,1.0,6.0,29.296875,1.0,29116441.980103757,21.0
212,28664.0,bb7c04d07300a7be4d5066f9_tensorflow,1.0,6.0,29.296875,0.1,25281254.39200961,4692.0
213,28671.0,26cf324be378ed50e837bd82_tensorflow,1.0,6.0,29.296875,0.1,32599365.691739324,5062.0
214,28721.0,f2fd61390859b15b41bcec22_tensorflow,1.0,6.0,29.296875,0.1,15916648.5616942,3833.0
215,28773.0,3af766daf63d1dd9f9739c21_tensorflow,1.0,6.0,29.296875,0.1,16020865.61818067,3674.0
216,28797.0,9e42d92070c70d0631298612_worker,1.0,6.0,29.296875,1.0,14649131.286136068,266.0
217,28805.0,04066c7c3a75d88b396e5e1f_worker,1.0,6.0,29.296875,1.0,44749335.58031263,253.0
218,28869.0,851e4f86a8e04c2868a3bb83_tensorflow,1.0,6.0,29.296875,2.0,14385197.40021734,606.0
219,28899.0,8b1eb4f5491b61c52d18122d_tensorflow,1.0,6.0,29.296875,0.1,15389086.832106566,3297.0
220,28923.0,90244acca91ad1138191fcac_xComputeWorker,1.0,10.0,19.55078125,0.5,30236903.545389056,465.0
221,29119.0,4aec3455603a734734944a23_tensorflow,1.0,6.0,29.296875,0.1,20200606.066786397,5521.0
222,29312.0,3c8715be53c3ae05add4af96_tensorflow,1.0,6.0,29.296875,0.1,19895040.38454325,5259.0
223,29358.0,b5a2d7b440505af44349e499_tensorflow,1.0,6.0,29.296875,2.0,11957051.703206906,42.0
224,29368.0,3543ed4d66079a6d0de077e5_tensorflow,1.0,6.0,29.296875,0.25,32117854.867357187,43.0
225,29397.0,83694e4400f3b5f303808793_tensorflow,1.0,6.0,29.296875,0.1,10536787.832258428,4814.0
226,29402.0,c446c739654547328a563086_tensorflow,1.0,6.0,29.296875,0.25,34978099.5364858,19057.0
227,29781.0,6a4f890fe9e37acbd92b2837_tensorflow,1.0,6.0,29.296875,1.0,42117378.61860574,161.0
228,29839.0,9410af2b17682272d45765b1_tensorflow,1.0,6.0,29.296875,0.1,25089790.04017763,4874.0
229,29912.0,93c54168d78fb5ba750f416c_worker,1.0,6.0,29.296875,1.0,12596784.948010208,233.0
230,29933.0,820a28dba14c3db233b2f394_worker,1.0,6.0,29.296875,1.0,10509414.612550126,233.0
231,30012.0,d50e521c346f8178a92d4e01_xComputeWorker,1.0,10.0,19.55078125,0.5,18890850.63009374,555.0
